famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword_generique,keyword_voiture
"Refroidissement",508,"Ventilateur de refroidissement",ventilateur-de-refroidissement,1,0,G2,"ventilateur de refroidissement","ventilateur de refroidissement voiture"
"Climatisation",851,"Bouteille déshydratante",bouteille-deshydratante,1,0,G2,"bouteille déshydratante","bouteille déshydratante voiture"
"Climatisation",2054,"Capteur température de climatisation",capteur-temperature-de-climatisation,1,0,G2,"capteur température de climatisation","capteur température de climatisation voiture"
"Climatisation",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation","commande de ventilation voiture"
"Climatisation",447,"Compresseur de climatisation",compresseur-de-climatisation,1,1,G1,"compresseur de climatisation","compresseur de climatisation voiture"
"Climatisation",448,"Condenseur de climatisation",condenseur-de-climatisation,1,0,G2,"condenseur de climatisation","condenseur de climatisation voiture"
"Climatisation",2094,"Conduite de climatisation",conduite-de-climatisation,2,0,G3,"conduite de climatisation","conduite de climatisation voiture"
"Climatisation",183,"Détendeur de climatisation",detendeur-de-climatisation,1,0,G2,"détendeur de climatisation","détendeur de climatisation voiture"
"Climatisation",471,"Evaporateur de climatisation",evaporateur-de-climatisation,1,0,G2,"evaporateur de climatisation","evaporateur de climatisation voiture"
"Climatisation",424,"Filtre d'habitacle",filtre-d-habitacle,1,0,G2,"filtre d'habitacle","filtre d'habitacle voiture"
"Climatisation",2408,"Gicleur détendeur",gicleur-detendeur,2,0,G3,"gicleur détendeur","gicleur détendeur voiture"
"Climatisation",1360,"Pressostat de climatisation",pressostat-de-climatisation,2,0,G3,"pressostat de climatisation","pressostat de climatisation voiture"
"Climatisation",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle","pulseur d'air d'habitacle voiture"
"Climatisation",2073,"Valve magnétique",valve-magnetique,2,0,G3,"valve magnétique","valve magnétique voiture"
"Echappement",429,"Catalyseur",catalyseur,1,0,G2,"catalyseur","catalyseur voiture"
"Echappement",1543,"Collecteur d'échappement",collecteur-d-echappement,2,0,G3,"collecteur d'échappement","collecteur d'échappement voiture"
"Echappement",1256,"FAP",fap,1,0,G2,"fap","fap voiture"
"Echappement",138,"Joint d'échappement",joint-d-echappement,2,0,G3,"joint d'échappement","joint d'échappement voiture"
"Echappement",26,"Silencieux",silencieux,1,0,G2,"silencieux","silencieux voiture"
"Echappement",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda","sonde lambda voiture"
"Echappement",17,"Tube d'échappement",tube-d-echappement,1,0,G2,"tube d'échappement","tube d'échappement voiture"
"Eclairage",117,"Ampoule éclairage intérieur",ampoule-eclairage-interieur,2,0,G3,"ampoule éclairage intérieur","ampoule éclairage intérieur voiture"
"Eclairage",115,"Ampoule feu arrière",ampoule-feu-arriere,2,0,G3,"ampoule feu arrière","ampoule feu arrière voiture"
"Eclairage",107,"Ampoule feu avant",ampoule-feu-avant,2,0,G3,"ampoule feu avant","ampoule feu avant voiture"
"Eclairage",105,"Ampoule feu clignotant",ampoule-feu-clignotant,2,0,G3,"ampoule feu clignotant","ampoule feu clignotant voiture"
"Eclairage",2126,"Ampoule feu de position",ampoule-feu-de-position,2,0,G3,"ampoule feu de position","ampoule feu de position voiture"
"Eclairage",114,"Ampoule feu de recul",ampoule-feu-de-recul,2,0,G3,"ampoule feu de recul","ampoule feu de recul voiture"
"Eclairage",112,"Ampoule feu éclaireur de plaque",ampoule-feu-eclaireur-de-plaque,2,0,G3,"ampoule feu éclaireur de plaque","ampoule feu éclaireur de plaque voiture"
"Eclairage",111,"Ampoule feu stop",ampoule-feu-stop,2,0,G3,"ampoule feu stop","ampoule feu stop voiture"
"Eclairage",1431,"Ballast à lampe xénon",ballast-a-lampe-xenon,2,0,G3,"ballast à lampe xénon","ballast à lampe xénon voiture"
"Eclairage",1432,"Commande correcteur de portée",commande-correcteur-de-portee,2,0,G3,"commande correcteur de portée","commande correcteur de portée voiture"
"Eclairage",809,"Commande d'éclairage",commande-d-eclairage,1,0,G2,"commande d'éclairage","commande d'éclairage voiture"
"Eclairage",807,"Contacteur feu de recul",contacteur-de-feu-de-recul,1,0,G2,"contacteur feu de recul","contacteur feu de recul voiture"
"Eclairage",700,"Correcteur de portée",correcteur-de-portee,2,0,G3,"correcteur de portée","correcteur de portée voiture"
"Eclairage",290,"Feu arrière",feu-arriere,1,0,G2,"feu arrière","feu arrière voiture"
"Eclairage",259,"Feu avant",feu-avant,1,0,G2,"feu avant","feu avant voiture"
"Eclairage",62,"Feu clignotant",feu-clignotant,1,0,G2,"feu clignotant","feu clignotant voiture"
"Eclairage",289,"Phares antibrouillard",phares-antibrouillard,2,0,G3,"phares antibrouillard","phares antibrouillard voiture"
"Eclairage",61,"Relais de clignotant",relais-de-clignotant,2,0,G3,"relais de clignotant","relais de clignotant voiture"
"Accessoires",39,"Attelage",attelage,1,0,G2,"attelage","attelage voiture"
"Accessoires",297,"Avertisseur sonore",avertisseur-sonore,2,0,G3,"avertisseur sonore","avertisseur sonore voiture"
"Accessoires",298,"Balais d'essuie-glace",balais-d-essuie-glace,1,1,G1,"balais d'essuie-glace","balais d'essuie-glace voiture"
"Accessoires",602,"Bouchon réservoir de carburant",bouchon-reservoir-de-carburant,2,0,G3,"bouchon réservoir de carburant","bouchon réservoir de carburant voiture"
"Accessoires",657,"Boulon de roue",boulon-de-roue,2,0,G3,"boulon de roue","boulon de roue voiture"
"Accessoires",301,"Bras d'essuie-glace",bras-d-essuie-glace,2,0,G3,"bras d'essuie-glace","bras d'essuie-glace voiture"
"Accessoires",618,"Câble d'accélérateur",cable-d-accelerateur,2,0,G3,"câble d'accélérateur","câble d'accélérateur voiture"
"Accessoires",1238,"Câble de capot moteur",cable-de-capot-moteur,2,0,G3,"câble de capot moteur","câble de capot moteur voiture"
"Accessoires",2232,"Capteur contrôle de pression des pneus",capteur-controle-de-pression-des-pneus,2,0,G3,"capteur contrôle de pression des pneus","capteur contrôle de pression des pneus voiture"
"Accessoires",2275,"Capteur de pluie",capteur-de-pluie,2,0,G3,"capteur de pluie","capteur de pluie voiture"
"Accessoires",2623,"Capteur parctronic",capteur-parctronic,2,0,G3,"capteur parctronic","capteur parctronic voiture"
"Accessoires",751,"Commande d'essuie-glace",commande-d-essuie-glace,1,0,G2,"commande d'essuie-glace","commande d'essuie-glace voiture"
